Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
BWY.L,Consumer Discretionary,Consumer Durables & Apparel,Bellway PLC,14.5935006725401,0.690014533059343,0.807898115365564,1.14015164863394,26.3857906546265,10.0033610621,0.6654612,5.56058,-0.08073745677916011,0.5521897208076311,0.016952185296404652,0.7162475338,9.65536108068652,,39.209167942743015,,0.9766902890656409,0.9646482485372484,14.127395240929769
FPE3_p.DE,Materials,Materials,Fuchs Se,17.3579782251897,1.95926944097143,2.55090765588003,1.48454417952314,17.029779577148,12.3687943262,1.20062,15.383,0.014847960416632278,0.9069755896516362,0.3009380094138762,,8.86030754291033,,34.48928118547521,,0.9134078937125358,0.92715157447611,35.86251326139248
BMED.MI,Financials,Financial Services,Banca Mediolanum SpA,13.2875271011351,,1.41325081598915,9.18739330595854,12.0610466307016,23.0474246076,0.8863,34.57344,0.47479038805561236,1.4566480507978143,0.049392633167082166,43.4898240148,,23.7,78.6256534193337,,1.2488164202584118,1.0694454060790697,35.34157360034566
AKZO.AS,Materials,Materials,Akzo Nobel NV,13.2431024512404,0.937341047639623,2.04132748904195,0.900544331037432,22.0834865457148,10.3911866306,2.046,13.37917,-0.012832934192749779,0.8989711450947593,0.4975989198748417,27.8780650267,9.41747653393815,,40.64645882020312,,0.9600822037951791,0.9864227595641238,22.12581595018815
ELISA.HE,Communication Services,Telecommunication Services,Elisa Oyj,18.4370764301377,1.51955503513376,5.57451464250041,3.34700244942891,23.0336268535906,23.0070727812,2.43533,30.61347,0.02251498440268951,0.9986380665178712,0.7136034341533746,17.9924148626,10.9623740042455,,32.31990232303765,,0.9896479680799258,0.9872535186733556,34.3023284941058
ADEN.S,Industrials,Commercial  & Professional Services,Adecco Group AG,12.2989308860751,1.21909986229175,1.28040315787491,0.207648602018737,19.9534928014827,2.519664621,1.06441,10.58829,-0.008913275151986588,0.9941858136227288,0.47919080828919924,38.2396334885,9.10138202899605,,56.41987599804944,,1.0978635942082267,1.068554902756946,19.12963664622169
PRY.MI,Industrials,Capital Goods,Prysmian SpA,20.4027697024156,0.523190048188676,3.49235268095449,1.15236686445682,27.1958415757872,8.4811464819,0.91875,18.69443,0.06398791930786563,0.9359368037848809,0.7769984360710686,19.509766521,11.6886893772075,,76.74025363097357,,1.25072685150038,1.200185463014056,45.419250209324986
NESN.S,Consumer Staples,"Food, Beverage & Tobacco",Nestle SA,16.635526953152,7.05574256543597,4.83057488663688,2.05240534146261,28.1390479406864,17.0906583182,3.0632,29.32823,-0.016483613909317185,0.786116946609883,0.447281236860691,22.3551932337,13.747193576521,,29.03364061020656,,0.8814781388749195,0.8886258774398723,50.3335822433642
CRDI.MI,Financials,Banks,UniCredit SpA,10.0803283178649,0.617251570028495,1.55509504320671,3.41902695553383,,79.9509950002,3.27699,16.0155,0.06800774424495448,,,63.5330462189,,15.96,75.16185479518637,,1.3789280603092053,1.1185448874605548,34.67610330135381
BOLL.PA,Communication Services,Media & Entertainment,Bollore SE,54.0540540540541,,0.565610859728507,1.32754788143994,19.959235665528,-9.0055266268,0.09942,1.1,-0.3836882371230994,1.6278115563506261,0.9856887298747764,,38.560169490446,,26.96602301035695,,0.8916179652222312,0.9660961558213582,33.33482464236553
SHCS.L,Real Estate,Equity Real Estate Investment Trusts (REITs),Shaftesbury Capital PLC,34.5727148056181,2.30058368984772,0.741329127151724,13.1410828899272,183.74134430519,56.6270365478,0.0406264,4.0298,0.41416700226240843,0.29081220485185466,0.44577485909056286,35.7008087648,33.4314434460015,,46.86056275005239,,1.1454966042883834,1.0960993452372645,15.506362152056266
ALLN.S,Real Estate,Real Estate Management & Development,Allreal Holding AG,22.771941714673,1.04906049899138,1.14084813539546,7.00720594332723,73.1831528121572,43.3957952468,7.0,5.07525,-0.21945685905870327,0.5662791538177994,0.5721673304623794,49.6440235475,27.212720093512,,45.48138069224078,,1.05097455565414,1.0024094293342596,9.932896001834582
GL9.I,Consumer Staples,"Food, Beverage & Tobacco",Glanbia PLC,11.1432212309281,9.42589761739979,1.72483705822296,0.930553599891457,14.4618359765562,10.2898663958,0.41446,14.81571,-0.13067450314659834,0.8829814885602426,0.2643932816549977,13.0744796082,8.49041714553663,,37.227265012787974,,0.9573229512091208,1.0733175461479691,19.539340647952415
BASFn.DE,Materials,Materials,BASF SE,15.509114854093,4.34168799664121,1.14547713154096,0.616677734633379,101.397008114899,8.6975176218,2.23184,6.40582,-0.09718612760504663,0.2665491654494246,2.189178683045421,33.9099464121,8.29770627844366,,56.95300893681685,,1.0039102550821277,1.0080545729002226,14.889201143320175
VRLA.PA,Materials,Materials,Verallia SA,14.1750767440461,0.825256349025521,3.21915178881635,0.999956712099823,19.7758228462297,16.0035878591,1.51161,22.99471,0.0056598574401751645,1.2021266045880101,1.3083222509974102,37.8630528523,6.76886917549151,,42.109350359925244,,1.0355692325770987,0.9982135670053593,10.815392675228694
SQN.S,Financials,Financial Services,Swissquote Group Holding SA,27.3035587822564,2.50701378385095,6.26856889407957,11.7301717977663,,53.2762712562,6.17289,24.80617,0.16155351580792354,,0.23753032550816458,51.0050839136,36.866368762264,,67.38905706718228,,1.3651566237177806,1.1819553269400749,39.93003701641543
HEIO.AS,Consumer Staples,"Food, Beverage & Tobacco",Heineken Holding NV,13.0043383947939,1.42497939485829,,0.593585719202475,,13.5400551557,,,,,,33.6968982277,,,36.368970016808085,,0.9387724767556024,0.9441025796477615,30.655660299152032
