Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
RS1R.L,Industrials,Capital Goods,RS Group PLC,0.7629395863418249,0.15553942404514187,0.0017808977761505813,0.747598537744962,0.5687097557031539,-0.5475171905807528,-0.7979260248811855,-0.27748339256431853,-0.7881921040084066,0.058311999598367276,0.5113111775117752,0.20751750181708525,-0.6578721681364682,,-0.5895765121745948,,-1.1576516351365895,-0.5070204157406705,-0.1925415636122108
MRON.L,Industrials,Capital Goods,Melrose Industries PLC,0.4675762856493833,0.5853745770852958,-0.02453089981217751,0.111237484014594,-2.2317434301129118,-0.6636471725506555,-0.8436534838114059,-0.2628753391155239,0.17451043626041557,-1.311698902290894,0.39348965622236914,-0.2649795862228609,-0.2987211213398678,,1.339085231278049,,0.2054006052334555,0.6800020987405276,0.42984280142569115
HWDN.L,Industrials,Capital Goods,Howden Joinery Group PLC,0.4030264613946314,-0.026842899060705683,-0.07912942203746845,0.1936116811604871,0.31859365521741384,0.47312804733367225,-0.8001118869073626,-0.053096969309537057,-0.5385005144004643,-0.1310561981630315,-0.043141263333191335,0.5932016240230078,-0.46890995682913283,,-0.016227380418613,,-0.16329390923625106,0.07607625473820168,-0.20016496769674036
SUN.S,Industrials,Capital Goods,Sulzer AG,0.520443186500872,0.518252116255902,-0.07447980393994588,0.43467700500147216,0.5235147731565782,0.007236960470187395,0.458604001545438,-0.03666362286349553,-0.07955109228129592,0.11751136232496909,0.40148728077358475,0.9925830194880265,-0.4984301892751208,,0.4699681302401174,,-0.03328464465790747,-0.2237411147309841,-0.42116531466231605
ACKB.BR,Industrials,Capital Goods,Ackermans & Van Haaren NV,0.921416345640641,0.5908935364127369,0.023070386234164256,0.5829213168090989,0.6424055384082552,-0.41481891879068394,0.34966341616179336,-0.3279583417019767,0.6469997642961416,1.8515974412419747,-0.17064886324411924,-2.8681486286558413,0.18726520246109488,,1.3189978137219618,,0.05112935643923883,-0.6388138194470406,0.014038126630496358
IVG.MI,Industrials,Capital Goods,Iveco Group NV,1.1934333023137935,0.6132300584777227,0.0068707829115654045,1.0342833834610743,0.4944148968462283,-0.9355599891182745,-0.7414743001453719,-0.13935267559804082,-0.6197295643886594,-0.13701213901465975,-2.3019079216483704,-2.603567405893477,-1.2573117961750644,,0.25835621978180595,,1.397038311354993,0.7641036420254526,-0.30741917686002557
KCRA.HE,Industrials,Capital Goods,Konecranes Abp,0.6573657188228654,0.09985549248720506,-0.03508536991942297,0.5108954837386379,0.6391747409392515,0.07434622347617358,-0.3557545927731669,-0.11894206213147844,0.3712276198343563,0.17494479916363448,0.6771656572608741,0.8919970100045731,-0.6009267119537619,,0.44015791567397256,,0.268749362540232,0.5913445477172088,0.4401483560772279
ITPG.MI,Industrials,Capital Goods,Interpump Group SpA,0.4097964890422691,0.09091813683704687,-0.003213541134822556,0.13114255943700356,0.5004507305497189,0.7264806720154523,-0.7685405021370869,-0.3285498925264618,-0.7352454785890741,0.3525568378595954,0.15638851841676896,0.5120252108002185,-0.4494251895415931,,1.2939484381510324,,-0.19133081554355624,0.38377483987539135,0.42001988995787637
ENR1n.DE,Industrials,Capital Goods,Siemens Energy AG,-3.7517679459001116,0.7883081223210489,-0.2188428195390525,0.14758375450985753,0.34799378760129573,-3.032071014534875,-0.6608520065126786,-0.2616664207289344,0.7170307977365615,2.861426152920402,-1.4774465303001647,,1.1220096994529096,,0.7036679086158042,,2.8490048916777937,1.8356397930864057,-0.9649857622405966
ROCKb.CO,Industrials,Capital Goods,Rockwool A/S,0.6527946243047654,-0.6405938898367586,-0.02100450611970129,0.12898816412857897,0.18678709731805931,0.9856542047669633,-0.6321680343413896,-0.19635081926604753,-0.7005347573893386,-0.7045545082180693,-0.6835015575832298,,-0.8025266708144423,,-0.18651368923692396,,-0.5154885004404465,-0.9405937269459755,-1.2408978800483468
